# Super-large sets analysis (sets with size > 6754)
#set_id	chunk_id	basechunk_id
1	11799	5657
1	11802	11799
1	11810	9704
1	11815	4328
1	11819	11815
1	11823	11815
1	11828	11815
1	11832	4314
1	12113	10055
1	12121	10083
1	12127	12113
1	12131	12113
1	12134	12113
1	12139	12113
1	12144	12134
1	12147	12127
1	12153	12134
1	12156	12147
1	12159	12113
1	12289	8662
1	12295	8400
1	12300	8440
1	12538	9693
1	12551	12538
1	12557	12538
1	12581	3659
1	12586	12581
1	12597	5600
1	12602	4866
1	12607	12602
1	12611	12607
1	12615	12607
1	12619	12615
1	12629	12607
1	12633	12602
1	12637	3676
1	12643	12611
1	12656	12602
1	12660	12637
1	12688	3187
1	12824	11796
1	12833	12824
1	12836	12833
1	12922	5509
1	12931	5458
1	12965	3259
1	12971	11589
1	12990	10875
1	12996	12990
1	13062	3241
1	13077	10323
1	13190	8967
1	13239	3259
1	13246	13239
1	13396	3151
1	13402	2788
1	13407	13402
1	13412	10475
1	13415	13412
1	13448	8053
1	13512	10460
1	13523	11029
1	13528	13523
1	13538	8056
1	13547	13538
1	13551	5293
1	13602	12836
1	13606	8042
1	13610	2697
1	13726	3238
1	13742	3229
1	13745	13742
1	13748	13745
1	13751	13748
1	13767	13742
1	13770	13748
1	13778	13726
1	13789	13748
1	13792	13748
1	13803	5653
1	13806	6296
1	14004	13062
1	14018	11796
1	14070	11796
1	14074	10875
1	14218	4878
1	14224	2926
1	14228	12581
1	14234	12931
1	14241	12824
1	14245	14241
1	14311	5079
1	14315	5600
1	14331	11094
1	14336	14331
1	14342	3259
1	14351	6535
1	14358	14351
1	14363	12990
1	14378	14224
1	14382	2953
1	14385	14382
1	14522	4268
1	14526	14522
1	14537	9693
1	14566	4471
1	14572	12300
1	14611	13077
1	14688	11094
1	14694	2944
1	14698	11106
1	14708	14694
1	14714	14698
1	14720	14694
1	14728	6714
1	14737	14720
1	14741	14737
1	14794	5110
1	14800	14537
1	15077	10323
1	15082	15077
1	15086	15082
1	15090	15086
1	15094	15082
1	15102	15094
1	15111	15094
1	15115	15082
1	15119	15115
1	15123	15082
1	15127	15119
1	15139	15119
1	15143	15119
1	15147	15086
1	15151	15102
1	15322	14218
1	15577	12538
1	15582	15577
1	15588	15582
1	15592	15582
1	15596	15592
1	15842	15077
1	15852	15842
1	15856	15842
1	15859	15856
1	15863	15859
1	15867	15856
1	15871	15863
1	15876	15863
1	15880	15863
1	15884	15852
1	15889	15852
1	15893	15884
1	15897	15880
1	15901	15852
1	15906	15863
1	15911	15889
1	15914	15893
1	15918	15852
1	15921	15906
1	15926	15889
1	15931	15926
1	15942	15918
1	16199	15577
1	16622	14566
1	16678	15577
1	16686	16678
1	16689	16686
1	16692	16686
1	16702	8886
1	16780	16678
1	16824	10979
1	16833	13789
1	16836	13748
1	16846	13767
1	16883	14228
1	16912	13396
1	16917	14336
1	17012	2926
1	17062	14234
1	17143	2926
1	17148	14331
1	17152	17148
1	17157	2926
1	17161	17148
1	17170	17148
1	17181	2926
1	17185	17181
1	17310	4408
1	17318	17310
1	17328	11094
1	17333	10929
1	17338	17333
1	17343	17338
1	17348	17338
1	17352	17328
1	17356	17333
1	17360	17356
1	17364	17352
1	17369	17352
1	17378	17352
1	17383	17328
1	17417	5322
1	17457	3856
1	17460	14018
1	17463	14070
1	17527	12289
1	17540	16686
1	17715	10055
1	17722	17715
1	17728	17722
1	17734	17722
1	17740	17734
1	17748	4476
1	17752	17722
1	17757	17740
1	17760	17728
1	17767	17728
1	17771	17728
1	17776	17722
1	17782	17767
1	17791	4268
1	17795	3187
1	17853	4314
1	17858	17853
1	17935	13077
1	18043	14378
1	18057	13077
1	18061	18057
1	18065	18057
1	18085	4471
1	18097	10373
1	18103	4649
1	18108	18103
1	18115	18103
1	18158	5458
1	18165	16883
1	18194	8988
1	18197	10373
1	18202	10379
1	18209	18202
1	18215	4471
1	18263	12581
